Brasil e Grande Região;Trimestre;Nível de instrução;Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência (Mil pessoas)
Centro-Oeste;4º trimestre 2015;Ensino fundamental incompleto ou equivalente;141
Centro-Oeste;4º trimestre 2015;Ensino fundamental completo ou equivalente;71
Centro-Oeste;4º trimestre 2015;Ensino médio incompleto ou equivalente;82
Centro-Oeste;4º trimestre 2015;Ensino médio completo ou equivalente;180
Centro-Oeste;4º trimestre 2015;Ensino superior incompleto ou equivalente;40
Centro-Oeste;4º trimestre 2015;Ensino superior completo ou equivalente;61
Centro-Oeste;1º trimestre 2016;Sem instrução e menos de 1 ano de estudo;20
Centro-Oeste;1º trimestre 2016;Ensino fundamental incompleto ou equivalente;172
Centro-Oeste;1º trimestre 2016;Ensino fundamental completo ou equivalente;84
Centro-Oeste;1º trimestre 2016;Ensino médio incompleto ou equivalente;96
Centro-Oeste;1º trimestre 2016;Ensino médio completo ou equivalente;273
Centro-Oeste;1º trimestre 2016;Ensino superior incompleto ou equivalente;56
Centro-Oeste;1º trimestre 2016;Ensino superior completo ou equivalente;80
Centro-Oeste;2º trimestre 2016;Sem instrução e menos de 1 ano de estudo;18
Centro-Oeste;2º trimestre 2016;Ensino fundamental incompleto ou equivalente;187
Centro-Oeste;2º trimestre 2016;Ensino fundamental completo ou equivalente;88
Centro-Oeste;2º trimestre 2016;Ensino médio incompleto ou equivalente;113
Centro-Oeste;2º trimestre 2016;Ensino médio completo ou equivalente;249
Centro-Oeste;2º trimestre 2016;Ensino superior incompleto ou equivalente;47
Centro-Oeste;2º trimestre 2016;Ensino superior completo ou equivalente;91
Centro-Oeste;3º trimestre 2016;Sem instrução e menos de 1 ano de estudo;15
Centro-Oeste;3º trimestre 2016;Ensino fundamental incompleto ou equivalente;203
Centro-Oeste;3º trimestre 2016;Ensino fundamental completo ou equivalente;97
Centro-Oeste;3º trimestre 2016;Ensino médio incompleto ou equivalente;111
Centro-Oeste;3º trimestre 2016;Ensino médio completo ou equivalente;246
Centro-Oeste;3º trimestre 2016;Ensino superior incompleto ou equivalente;64
Centro-Oeste;3º trimestre 2016;Ensino superior completo ou equivalente;77
Centro-Oeste;4º trimestre 2016;Sem instrução e menos de 1 ano de estudo;23
Centro-Oeste;4º trimestre 2016;Ensino fundamental incompleto ou equivalente;230
Centro-Oeste;4º trimestre 2016;Ensino fundamental completo ou equivalente;102
Centro-Oeste;4º trimestre 2016;Ensino médio incompleto ou equivalente;124
Centro-Oeste;4º trimestre 2016;Ensino médio completo ou equivalente;266
Centro-Oeste;4º trimestre 2016;Ensino superior incompleto ou equivalente;65
Centro-Oeste;4º trimestre 2016;Ensino superior completo ou equivalente;86
Centro-Oeste;1º trimestre 2017;Sem instrução e menos de 1 ano de estudo;19
Centro-Oeste;1º trimestre 2017;Ensino fundamental incompleto ou equivalente;260
Centro-Oeste;1º trimestre 2017;Ensino fundamental completo ou equivalente;97
Centro-Oeste;1º trimestre 2017;Ensino médio incompleto ou equivalente;125
Centro-Oeste;1º trimestre 2017;Ensino médio completo ou equivalente;305
Centro-Oeste;1º trimestre 2017;Ensino superior incompleto ou equivalente;76
Centro-Oeste;1º trimestre 2017;Ensino superior completo ou equivalente;110
Centro-Oeste;2º trimestre 2017;Sem instrução e menos de 1 ano de estudo;24
Centro-Oeste;2º trimestre 2017;Ensino fundamental incompleto ou equivalente;227
Centro-Oeste;2º trimestre 2017;Ensino fundamental completo ou equivalente;89
Centro-Oeste;2º trimestre 2017;Ensino médio incompleto ou equivalente;135
Centro-Oeste;2º trimestre 2017;Ensino médio completo ou equivalente;247
Centro-Oeste;2º trimestre 2017;Ensino superior incompleto ou equivalente;69
Centro-Oeste;2º trimestre 2017;Ensino superior completo ou equivalente;88
Centro-Oeste;3º trimestre 2017;Sem instrução e menos de 1 ano de estudo;12
Centro-Oeste;3º trimestre 2017;Ensino fundamental incompleto ou equivalente;214
Centro-Oeste;3º trimestre 2017;Ensino fundamental completo ou equivalente;83
Centro-Oeste;3º trimestre 2017;Ensino médio incompleto ou equivalente;109
Centro-Oeste;3º trimestre 2017;Ensino médio completo ou equivalente;237
Centro-Oeste;3º trimestre 2017;Ensino superior incompleto ou equivalente;69
Centro-Oeste;3º trimestre 2017;Ensino superior completo ou equivalente;83
Centro-Oeste;4º trimestre 2017;Sem instrução e menos de 1 ano de estudo;16
Centro-Oeste;4º trimestre 2017;Ensino fundamental incompleto ou equivalente;199
Centro-Oeste;4º trimestre 2017;Ensino fundamental completo ou equivalente;77
Centro-Oeste;4º trimestre 2017;Ensino médio incompleto ou equivalente;111
Centro-Oeste;4º trimestre 2017;Ensino médio completo ou equivalente;234
Centro-Oeste;4º trimestre 2017;Ensino superior incompleto ou equivalente;60
Centro-Oeste;4º trimestre 2017;Ensino superior completo ou equivalente;81
Centro-Oeste;1º trimestre 2018;Sem instrução e menos de 1 ano de estudo;13
Centro-Oeste;1º trimestre 2018;Ensino fundamental incompleto ou equivalente;205
Centro-Oeste;1º trimestre 2018;Ensino fundamental completo ou equivalente;96
Centro-Oeste;1º trimestre 2018;Ensino médio incompleto ou equivalente;115
Centro-Oeste;1º trimestre 2018;Ensino médio completo ou equivalente;272
Centro-Oeste;1º trimestre 2018;Ensino superior incompleto ou equivalente;77
Centro-Oeste;1º trimestre 2018;Ensino superior completo ou equivalente;105
Centro-Oeste;2º trimestre 2018;Sem instrução e menos de 1 ano de estudo;16
Centro-Oeste;2º trimestre 2018;Ensino fundamental incompleto ou equivalente;180
Centro-Oeste;2º trimestre 2018;Ensino fundamental completo ou equivalente;86
Centro-Oeste;2º trimestre 2018;Ensino médio incompleto ou equivalente;110
Centro-Oeste;2º trimestre 2018;Ensino médio completo ou equivalente;258
Centro-Oeste;2º trimestre 2018;Ensino superior incompleto ou equivalente;63
Centro-Oeste;2º trimestre 2018;Ensino superior completo ou equivalente;87
Centro-Oeste;3º trimestre 2018;Sem instrução e menos de 1 ano de estudo;15
Centro-Oeste;3º trimestre 2018;Ensino fundamental incompleto ou equivalente;166
Centro-Oeste;3º trimestre 2018;Ensino fundamental completo ou equivalente;74
Centro-Oeste;3º trimestre 2018;Ensino médio incompleto ou equivalente;114
Centro-Oeste;3º trimestre 2018;Ensino médio completo ou equivalente;229
Centro-Oeste;3º trimestre 2018;Ensino superior incompleto ou equivalente;68
Centro-Oeste;3º trimestre 2018;Ensino superior completo ou equivalente;90
Centro-Oeste;4º trimestre 2018;Sem instrução e menos de 1 ano de estudo;8
Centro-Oeste;4º trimestre 2018;Ensino fundamental incompleto ou equivalente;156
Centro-Oeste;4º trimestre 2018;Ensino fundamental completo ou equivalente;82
Centro-Oeste;4º trimestre 2018;Ensino médio incompleto ou equivalente;111
Centro-Oeste;4º trimestre 2018;Ensino médio completo ou equivalente;224
Centro-Oeste;4º trimestre 2018;Ensino superior incompleto ou equivalente;55
Centro-Oeste;4º trimestre 2018;Ensino superior completo ou equivalente;89
Centro-Oeste;1º trimestre 2019;Sem instrução e menos de 1 ano de estudo;16
Centro-Oeste;1º trimestre 2019;Ensino fundamental incompleto ou equivalente;199
Centro-Oeste;1º trimestre 2019;Ensino fundamental completo ou equivalente;89
Centro-Oeste;1º trimestre 2019;Ensino médio incompleto ou equivalente;135
Centro-Oeste;1º trimestre 2019;Ensino médio completo ou equivalente;307
Centro-Oeste;1º trimestre 2019;Ensino superior incompleto ou equivalente;72
Centro-Oeste;1º trimestre 2019;Ensino superior completo ou equivalente;122
Centro-Oeste;2º trimestre 2019;Sem instrução e menos de 1 ano de estudo;12
Centro-Oeste;2º trimestre 2019;Ensino fundamental incompleto ou equivalente;193
Centro-Oeste;2º trimestre 2019;Ensino fundamental completo ou equivalente;93
Centro-Oeste;2º trimestre 2019;Ensino médio incompleto ou equivalente;126
Centro-Oeste;2º trimestre 2019;Ensino médio completo ou equivalente;306
Centro-Oeste;2º trimestre 2019;Ensino superior incompleto ou equivalente;75
Centro-Oeste;2º trimestre 2019;Ensino superior completo ou equivalente;95
Centro-Oeste;3º trimestre 2019;Sem instrução e menos de 1 ano de estudo;10
Centro-Oeste;3º trimestre 2019;Ensino fundamental incompleto ou equivalente;205
Centro-Oeste;3º trimestre 2019;Ensino fundamental completo ou equivalente;90
Centro-Oeste;3º trimestre 2019;Ensino médio incompleto ou equivalente;131
Centro-Oeste;3º trimestre 2019;Ensino médio completo ou equivalente;286
Centro-Oeste;3º trimestre 2019;Ensino superior incompleto ou equivalente;69
Centro-Oeste;3º trimestre 2019;Ensino superior completo ou equivalente;105
Centro-Oeste;4º trimestre 2019;Sem instrução e menos de 1 ano de estudo;12
Centro-Oeste;4º trimestre 2019;Ensino fundamental incompleto ou equivalente;167
Centro-Oeste;4º trimestre 2019;Ensino fundamental completo ou equivalente;78
Centro-Oeste;4º trimestre 2019;Ensino médio incompleto ou equivalente;120
Centro-Oeste;4º trimestre 2019;Ensino médio completo ou equivalente;265
Centro-Oeste;4º trimestre 2019;Ensino superior incompleto ou equivalente;73
Centro-Oeste;4º trimestre 2019;Ensino superior completo ou equivalente;103
Centro-Oeste;1º trimestre 2022;Sem instrução e menos de 1 ano de estudo;...
Centro-Oeste;1º trimestre 2022;Ensino fundamental incompleto ou equivalente;...
Centro-Oeste;1º trimestre 2022;Ensino fundamental completo ou equivalente;...
Centro-Oeste;1º trimestre 2022;Ensino médio incompleto ou equivalente;...
Centro-Oeste;1º trimestre 2022;Ensino médio completo ou equivalente;...
Centro-Oeste;1º trimestre 2022;Ensino superior incompleto ou equivalente;...
Centro-Oeste;1º trimestre 2022;Ensino superior completo ou equivalente;...
Centro-Oeste;2º trimestre 2022;Sem instrução e menos de 1 ano de estudo;8
Centro-Oeste;2º trimestre 2022;Ensino fundamental incompleto ou equivalente;113
Centro-Oeste;2º trimestre 2022;Ensino fundamental completo ou equivalente;63
Centro-Oeste;2º trimestre 2022;Ensino médio incompleto ou equivalente;102
Centro-Oeste;2º trimestre 2022;Ensino médio completo ou equivalente;218
Centro-Oeste;2º trimestre 2022;Ensino superior incompleto ou equivalente;47
Centro-Oeste;2º trimestre 2022;Ensino superior completo ou equivalente;74
Centro-Oeste;3º trimestre 2022;Sem instrução e menos de 1 ano de estudo;13
Centro-Oeste;3º trimestre 2022;Ensino fundamental incompleto ou equivalente;115
Centro-Oeste;3º trimestre 2022;Ensino fundamental completo ou equivalente;49
Centro-Oeste;3º trimestre 2022;Ensino médio incompleto ou equivalente;92
Centro-Oeste;3º trimestre 2022;Ensino médio completo ou equivalente;202
Centro-Oeste;3º trimestre 2022;Ensino superior incompleto ou equivalente;44
Centro-Oeste;3º trimestre 2022;Ensino superior completo ou equivalente;66
Centro-Oeste;4º trimestre 2022;Sem instrução e menos de 1 ano de estudo;8
Centro-Oeste;4º trimestre 2022;Ensino fundamental incompleto ou equivalente;99
Centro-Oeste;4º trimestre 2022;Ensino fundamental completo ou equivalente;48
Centro-Oeste;4º trimestre 2022;Ensino médio incompleto ou equivalente;87
Centro-Oeste;4º trimestre 2022;Ensino médio completo ou equivalente;188
Centro-Oeste;4º trimestre 2022;Ensino superior incompleto ou equivalente;43
Centro-Oeste;4º trimestre 2022;Ensino superior completo ou equivalente;80
Centro-Oeste;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;7
Centro-Oeste;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;116
Centro-Oeste;1º trimestre 2023;Ensino fundamental completo ou equivalente;51
Centro-Oeste;1º trimestre 2023;Ensino médio incompleto ou equivalente;89
Centro-Oeste;1º trimestre 2023;Ensino médio completo ou equivalente;206
Centro-Oeste;1º trimestre 2023;Ensino superior incompleto ou equivalente;63
Centro-Oeste;1º trimestre 2023;Ensino superior completo ou equivalente;98
Centro-Oeste;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;6
Centro-Oeste;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;74
Centro-Oeste;2º trimestre 2023;Ensino fundamental completo ou equivalente;45
Centro-Oeste;2º trimestre 2023;Ensino médio incompleto ou equivalente;63
Centro-Oeste;2º trimestre 2023;Ensino médio completo ou equivalente;194
Centro-Oeste;2º trimestre 2023;Ensino superior incompleto ou equivalente;50
Centro-Oeste;2º trimestre 2023;Ensino superior completo ou equivalente;80
Centro-Oeste;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;3
Centro-Oeste;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;86
Centro-Oeste;3º trimestre 2023;Ensino fundamental completo ou equivalente;49
Centro-Oeste;3º trimestre 2023;Ensino médio incompleto ou equivalente;74
Centro-Oeste;3º trimestre 2023;Ensino médio completo ou equivalente;179
Centro-Oeste;3º trimestre 2023;Ensino superior incompleto ou equivalente;42
Centro-Oeste;3º trimestre 2023;Ensino superior completo ou equivalente;58
Centro-Oeste;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;6
Centro-Oeste;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;103
Centro-Oeste;4º trimestre 2023;Ensino fundamental completo ou equivalente;47
Centro-Oeste;4º trimestre 2023;Ensino médio incompleto ou equivalente;73
Centro-Oeste;4º trimestre 2023;Ensino médio completo ou equivalente;180
Centro-Oeste;4º trimestre 2023;Ensino superior incompleto ou equivalente;44
Centro-Oeste;4º trimestre 2023;Ensino superior completo ou equivalente;77
Centro-Oeste;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;5
Centro-Oeste;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;88
Centro-Oeste;1º trimestre 2024;Ensino fundamental completo ou equivalente;41
Centro-Oeste;1º trimestre 2024;Ensino médio incompleto ou equivalente;82
Centro-Oeste;1º trimestre 2024;Ensino médio completo ou equivalente;201
Centro-Oeste;1º trimestre 2024;Ensino superior incompleto ou equivalente;58
Centro-Oeste;1º trimestre 2024;Ensino superior completo ou equivalente;83
Centro-Oeste;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;5
Centro-Oeste;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;93
Centro-Oeste;2º trimestre 2024;Ensino fundamental completo ou equivalente;43
Centro-Oeste;2º trimestre 2024;Ensino médio incompleto ou equivalente;70
Centro-Oeste;2º trimestre 2024;Ensino médio completo ou equivalente;159
Centro-Oeste;2º trimestre 2024;Ensino superior incompleto ou equivalente;49
Centro-Oeste;2º trimestre 2024;Ensino superior completo ou equivalente;81
Centro-Oeste;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;6
Centro-Oeste;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;80
Centro-Oeste;3º trimestre 2024;Ensino fundamental completo ou equivalente;47
Centro-Oeste;3º trimestre 2024;Ensino médio incompleto ou equivalente;66
Centro-Oeste;3º trimestre 2024;Ensino médio completo ou equivalente;148
Centro-Oeste;3º trimestre 2024;Ensino superior incompleto ou equivalente;45
Centro-Oeste;3º trimestre 2024;Ensino superior completo ou equivalente;61
Centro-Oeste;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;7
Centro-Oeste;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;76
Centro-Oeste;4º trimestre 2024;Ensino fundamental completo ou equivalente;42
Centro-Oeste;4º trimestre 2024;Ensino médio incompleto ou equivalente;62
Centro-Oeste;4º trimestre 2024;Ensino médio completo ou equivalente;160
Centro-Oeste;4º trimestre 2024;Ensino superior incompleto ou equivalente;39
Centro-Oeste;4º trimestre 2024;Ensino superior completo ou equivalente;67
Centro-Oeste;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;6
Centro-Oeste;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;75
Centro-Oeste;1º trimestre 2025;Ensino fundamental completo ou equivalente;41
Centro-Oeste;1º trimestre 2025;Ensino médio incompleto ou equivalente;63
Centro-Oeste;1º trimestre 2025;Ensino médio completo ou equivalente;190
Centro-Oeste;1º trimestre 2025;Ensino superior incompleto ou equivalente;38
Centro-Oeste;1º trimestre 2025;Ensino superior completo ou equivalente;83
Centro-Oeste;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;2
Centro-Oeste;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;57
Centro-Oeste;2º trimestre 2025;Ensino fundamental completo ou equivalente;30
Centro-Oeste;2º trimestre 2025;Ensino médio incompleto ou equivalente;58
Centro-Oeste;2º trimestre 2025;Ensino médio completo ou equivalente;169
Centro-Oeste;2º trimestre 2025;Ensino superior incompleto ou equivalente;36
Centro-Oeste;2º trimestre 2025;Ensino superior completo ou equivalente;75
